time;X;Y;Z;Roll;Pitch;yaw
502.7368164;0;0;600;-1.115241051;-1.225265622;-26.11373967
502.7468262;0;0;600;-1.139682889;-1.219715834;-26.24381107
502.7568359;0;0;600;-1.157325387;-1.211928964;-26.36880857
502.7668457;0;0;600;-1.176315308;-1.201654553;-26.50017483
502.7768555;0;0;600;-1.185932994;-1.189410925;-26.54182901
502.7868652;0;0;600;-1.19446373;-1.176934719;-26.67064277
502.796875;0;0;600;-1.200524092;-1.166512609;-26.83173322
502.8068848;0;0;600;-1.20359683;-1.158012033;-27.16149174
502.8168945;0;0;600;-1.209157586;-1.152884841;-27.43511359
502.8269043;0;0;600;-1.209945321;-1.149435043;-27.63585322
502.8369141;0;0;600;-1.209889531;-1.14720583;-27.76210314
502.8469238;0;0;600;-1.203219533;-1.147101164;-27.91072749
502.8569336;0;0;600;-1.194310308;-1.148945212;-27.97426496
502.8669434;0;0;600;-1.183215857;-1.152833223;-28.04182901
502.8769531;0;0;600;-1.166645408;-1.156461;-28.09136047
502.8869629;0;0;600;-1.150684595;-1.159240007;-28.27838996
502.8969727;0;0;600;-1.130247831;-1.161854625;-28.36270455
502.9069824;0;0;600;-1.111705184;-1.163474679;-28.53725349
502.9169922;0;0;600;-1.090749145;-1.163889527;-28.67549477
502.927002;0;0;600;-1.070372343;-1.161301374;-28.80172431
502.9370117;0;0;600;-1.045888662;-1.153853178;-28.99838159
502.9470215;0;0;600;-1.023306727;-1.141301751;-29.12594783
502.9570313;0;0;600;-0.996668339;-1.123647451;-29.2140802
502.967041;0;0;600;-0.970010221;-1.100997925;-29.4107175
502.9770508;0;0;600;-0.943158507;-1.075397491;-29.57489235
502.9870605;0;0;600;-0.914523482;-1.048723817;-29.80096505
502.9970703;0;0;600;-0.890415013;-1.023338675;-30.00705316
503.0070801;0;0;600;-0.863969207;-0.999155283;-30.15690623
503.0170898;0;0;600;-0.840403318;-0.97633785;-30.29105477
503.0270996;0;0;600;-0.817018151;-0.955106854;-30.44151173
503.0371094;0;0;600;-0.792202234;-0.935048938;-30.64318967
503.0471191;0;0;600;-0.770506203;-0.916572332;-30.84745949
503.0571289;0;0;600;-0.744431317;-0.899006784;-31.01162872
503.0671387;0;0;600;-0.72349298;-0.882816315;-31.26971568
503.0771484;0;0;600;-0.699831784;-0.867959201;-31.28266299
503.0871582;0;0;600;-0.673671663;-0.852673531;-31.34624414
503.097168;0;0;600;-0.650157332;-0.839802802;-31.43281584
503.1071777;0;0;600;-0.620248437;-0.829037607;-31.44425463
503.1171875;0;0;600;-0.596441269;-0.821189165;-31.49639849
503.1271973;0;0;600;-0.564638019;-0.813951373;-31.49150832
503.137207;0;0;600;-0.535607815;-0.806982636;-31.49378609
503.1472168;0;0;600;-0.50409925;-0.801142454;-31.49868627
503.1572266;0;0;600;-0.473599941;-0.796517313;-31.48770205
503.1672363;0;0;600;-0.438052505;-0.79308337;-31.50140862
503.1772461;0;0;600;-0.409053862;-0.792629063;-31.36148936
503.1872559;0;0;600;-0.376792192;-0.794525743;-31.22549901
503.1972656;0;0;600;-0.348510176;-0.798104763;-31.20340067
503.2072754;0;0;600;-0.320631057;-0.802449167;-31.06270917
503.2172852;0;0;600;-0.292303294;-0.805732965;-31.05781334
503.2272949;0;0;600;-0.267440975;-0.809682608;-31.05935184
503.2373047;0;0;600;-0.24184227;-0.813885272;-30.99486498
503.2473145;0;0;600;-0.221081436;-0.819427788;-30.91605227
503.2573242;0;0;600;-0.201236561;-0.825390875;-30.77580971
503.267334;0;0;600;-0.180828333;-0.829898655;-30.70066036
503.2773438;0;0;600;-0.164207488;-0.833677471;-30.63022238
503.2873535;0;0;600;-0.144297943;-0.836583912;-30.57230914
503.2973633;0;0;600;-0.126428023;-0.83955884;-30.50781742
503.307373;0;0;600;-0.107942842;-0.843631983;-30.4495894
503.3173828;0;0;600;-0.088715628;-0.849196553;-30.30737185
503.3273926;0;0;600;-0.072414272;-0.856950283;-30.15919399
503.3374023;0;0;600;-0.052304562;-0.865801811;-30.08678495
503.3474121;0;0;600;-0.035430409;-0.874619424;-30.06574623
503.3574219;0;0;600;-0.014946814;-0.883599639;-29.92976883
503.3674316;0;0;600;0.004392073;-0.891608298;-29.77733821
503.3774414;0;0;600;0.023814637;-0.898617029;-29.70293815
503.3874512;0;0;600;0.040100992;-0.903127193;-29.61727507
503.3974609;0;0;600;0.058996398;-0.903016984;-29.42215629
503.4074707;0;0;600;0.07362663;-0.901066005;-29.29745147
503.4174805;0;0;600;0.088890716;-0.898083091;-29.15538772
503.4274902;0;0;600;0.105068132;-0.89276576;-28.94502388
503.4375;0;0;600;0.118707635;-0.886796355;-28.82183282
503.4475098;0;0;600;0.134411275;-0.879162252;-28.74380107
503.4575195;0;0;600;0.146520689;-0.871373475;-28.60813403
503.4675293;0;0;600;0.15835309;-0.862329066;-28.5413449
503.4775391;0;0;600;0.170122236;-0.852480114;-28.48313653
503.4875488;0;0;600;0.178369656;-0.843748987;-28.35965754
503.4975586;0;0;600;0.188236803;-0.83568877;-28.23647062
503.5075684;0;0;600;0.193712011;-0.829074621;-28.16148175
503.5175781;0;0;600;0.20235382;-0.824620187;-28.04258826
503.5275879;0;0;600;0.208353296;-0.822503746;-27.9559827
503.5375977;0;0;600;0.214974344;-0.822230399;-27.8261204
503.5476074;0;0;600;0.221990198;-0.824288964;-27.82155488
503.5576172;0;0;600;0.226736218;-0.828453064;-27.74712529
503.567627;0;0;600;0.233881712;-0.833437085;-27.67978381
503.5776367;0;0;600;0.238097593;-0.838752329;-27.73009451
503.5876465;0;0;600;0.243887857;-0.844139338;-27.67853182
503.5976563;0;0;600;0.249361992;-0.850866497;-27.61118104
503.607666;0;0;600;0.255932331;-0.85896045;-27.60966253
503.6176758;0;0;600;0.263180941;-0.868922472;-27.6129854
503.6276855;0;0;600;0.273015887;-0.880042136;-27.60508701
503.6376953;0;0;600;0.282885343;-0.891386032;-27.65872104
503.6477051;0;0;600;0.292067468;-0.902841091;-27.66149174
503.6577148;0;0;600;0.302010596;-0.913377404;-27.71636796
503.6677246;0;0;600;0.308779716;-0.923241794;-27.78067275
503.6777344;0;0;600;0.315899223;-0.931176364;-27.90691123
503.6877441;0;0;600;0.32195738;-0.936730325;-27.96789147
503.6977539;0;0;600;0.328711003;-0.940119088;-27.98189756
503.7077637;0;0;600;0.337327749;-0.940448225;-28.05172931
503.7177734;0;0;600;0.343802243;-0.939538002;-28.2026514
503.7277832;0;0;600;0.352316499;-0.93781817;-28.20597021
503.737793;0;0;600;0.359434575;-0.9342767;-28.32307339
503.7478027;0;0;600;0.367199063;-0.92884028;-28.46484445
503.7578125;0;0;600;0.375983864;-0.920867324;-28.53525081
503.7678223;0;0;600;0.384424001;-0.911350429;-28.74227257
503.777832;0;0;600;0.395994663;-0.899543166;-28.8261204
503.7878418;0;0;600;0.406811297;-0.886002481;-29.03220876
503.7978516;0;0;600;0.421617329;-0.871025681;-29.10813403
503.8078613;0;0;600;0.435189843;-0.855486333;-29.17977382
503.8178711;0;0;600;0.45211184;-0.839538455;-29.25171584
503.8278809;0;0;600;0.467926115;-0.822935522;-29.32307339
503.8378906;0;0;600;0.483589768;-0.806653798;-29.3992887
503.8479004;0;0;600;0.497722179;-0.791097581;-29.46970439
503.8579102;0;0;600;0.514297009;-0.775848389;-29.5502008
503.8679199;0;0;600;0.527424037;-0.761462748;-29.61422806
503.8779297;0;0;600;0.542062879;-0.747729897;-29.69836259
503.8879395;0;0;600;0.554173648;-0.734852016;-29.77733821
503.8979492;0;0;600;0.564629018;-0.724227607;-29.85355352
503.907959;0;0;600;0.574193537;-0.715892732;-29.86910697
503.9179688;0;0;600;0.580864191;-0.711023867;-29.93739136
503.9279785;0;0;600;0.585044205;-0.710198462;-29.88709065
503.9379883;0;0;600;0.586069942;-0.713528275;-29.87520106
503.947998;0;0;600;0.585031211;-0.720431685;-29.87642111
503.9580078;0;0;600;0.584015667;-0.729796588;-29.86909698
503.9680176;0;0;600;0.578062236;-0.740424097;-29.85965754
503.9780273;0;0;600;0.575499117;-0.75011301;-29.85202502
503.9880371;0;0;600;0.569927752;-0.759708524;-29.86147437
503.9980469;0;0;600;0.565403879;-0.76964277;-29.93130732
